run_id,program_name,eval_name,test_accuracy,models,methods,n_methods,uses_training,summary,used_dinov2,used_clip,prompt_tokens,completion_tokens,total_tokens,llm_cost,backbone_bucket,methods_canonical,n_methods_canonical
0001_dbaa5712,program_step0001_dbaa5712.py,eval_step0001_dbaa5712.json,0.5232466509062254,['ViT'],"['semi-supervised learning', 'prototype refinement', 'data augmentation', 'feature extraction', 'cross-entropy loss']",5,yes,"The program implements a semi-supervised learning approach using a Vision Transformer (ViT) backbone for image classification. It utilizes labeled and unlabeled data to refine class prototypes through feature extraction and consistency objectives. Data augmentation techniques are applied to enhance the labeled dataset, and the model is trained using cross-entropy loss. The program is designed to predict categories for new images based on the learned prototypes.",True,False,2549,129,2678,0.0033715000000000004,DINOv2 only,"['cross entropy loss', 'data augmentation', 'feature extraction', 'prototype methods', 'semi-supervised learning']",5
0002_620d283a,program_step0002_620d283a.py,eval_step0002_620d283a.json,0.7256107171000789,['ViT'],"['supervised contrastive loss', 'data augmentation', 'parameter-efficient finetuning', 'cross-entropy loss', 'cosine annealing scheduler']",5,yes,"This program implements a classification agent using a Vision Transformer (ViT) backbone with a focus on semi-supervised learning. It employs a two-view labeled dataset for training, utilizing data augmentation techniques and a combination of supervised contrastive loss and cross-entropy loss for optimization. The model is trained using a parameter-efficient finetuning method, allowing for effective learning with limited labeled data.",False,True,2453,134,2587,0.0032879000000000003,CLIP only,"['cosine annealing scheduler', 'cross entropy loss', 'data augmentation', 'parameter efficient finetuning', 'supervised contrastive loss']",5
0003_a24ebc24,program_step0003_a24ebc24.py,eval_step0003_a24ebc24.json,0.5051221434200157,"['ViT', 'DINOv2']","['semi-supervised learning', 'label propagation', 'data augmentation', 'linear head training', 'feature extraction', 'KNN graph construction']",6,yes,"This program implements a semi-supervised learning framework for image classification using a Vision Transformer (ViT) backbone with DINOv2 features. It extracts features from labeled and unlabeled images, applies label propagation to generate pseudo-labels, and trains a linear head on both labeled and pseudo-labeled data. The program includes data augmentation techniques to enhance the training process and utilizes a KNN graph for effective label propagation.",True,False,3678,145,3823,0.0046838,DINOv2 only,"['data augmentation', 'feature extraction', 'knn graph construction', 'label propagation / graph methods', 'linear head training', 'semi-supervised learning']",6
0004_e9414938,program_step0004_e9414938.py,eval_step0004_e9414938.json,0.621591804570528,"['ViT', 'DINOv2']","['semi-supervised learning', 'multi-view augmentation', 'linear classification head', 'feature extraction', 'memory bank', 'local mixing probabilities', 'data augmentation']",7,yes,"This program implements a semi-supervised learning framework for image classification using a Vision Transformer (ViT) backbone with DINOv2 features. It combines labeled and unlabeled data through multi-view augmentations and builds a memory bank for unlabeled samples. A linear classification head is trained on the extracted features, and predictions are made by fusing global and local probabilities. The program emphasizes data-efficient training strategies and robust feature extraction.",True,False,3657,151,3808,0.0046871000000000005,DINOv2 only,"['data augmentation', 'feature extraction', 'linear classification head', 'local mixing probabilities', 'memory bank', 'multi view augmentation', 'semi-supervised learning']",7
0006_48e56c00,program_step0006_48e56c00.py,eval_step0006_48e56c00.json,0.7561859732072498,['ViT'],"['semi-supervised learning', 'data augmentation', 'weighted sampling', 'label smoothing', 'consistency loss', 'teacher-student framework', 'feature normalization']",7,yes,"This program implements a semi-supervised learning framework using a Vision Transformer (ViT) backbone for image classification. It employs a teacher-student model approach, where a teacher model provides pseudo-labels for unlabeled data. The training process includes data augmentation techniques, weighted sampling for class balance, and consistency loss to improve model robustness. The program also normalizes features to enhance performance during training and evaluation.",False,True,4489,140,4629,0.0055539000000000005,CLIP only,"['consistency loss', 'data augmentation', 'feature normalization', 'label smoothing', 'semi-supervised learning', 'teacher student framework', 'weighted sampling']",7
0007_ad1222cf,program_step0007_ad1222cf.py,eval_step0007_ad1222cf.json,0.696769109535067,['ViT'],"['semi-supervised learning', 'supervised contrastive loss', 'data augmentation', 'pseudo-labeling', 'exponential moving average', 'parameter-efficient finetuning']",6,yes,"This program implements a semi-supervised learning framework using a Vision Transformer (ViT) model for image classification. It employs a combination of labeled and unlabeled data, utilizing supervised contrastive loss and pseudo-labeling to enhance learning. The program includes various data augmentation techniques and employs an exponential moving average for model updates. It is designed to efficiently train on limited labeled data while leveraging a larger pool of unlabeled images.",False,True,3502,145,3647,0.0044902,CLIP only,"['data augmentation', 'exponential moving average', 'parameter efficient finetuning', 'pseudo-labeling', 'semi-supervised learning', 'supervised contrastive loss']",6
0008_9ba994bd,program_step0008_9ba994bd.py,eval_step0008_9ba994bd.json,0.711899133175729,['ViT'],"['supervised contrastive loss', 'cross entropy', 'mixup', 'data augmentation', 'cosine classifier', 'parameter-efficient finetuning']",6,yes,"This program implements a classification agent using a Vision Transformer (ViT) backbone with a cosine classifier for image classification tasks. It employs a combination of supervised contrastive loss, cross-entropy loss, and mixup techniques for training. The program also includes data augmentation strategies to enhance model robustness and utilizes parameter-efficient finetuning methods. The agent is designed to handle both labeled and unlabeled data for improved performance.",False,True,3342,140,3482,0.0042922,CLIP only,"['cosine classifier', 'cross entropy', 'data augmentation', 'mixup', 'parameter efficient finetuning', 'supervised contrastive loss']",6
0009_ac10f823,program_step0009_ac10f823.py,eval_step0009_ac10f823.json,0.7755713159968479,['ViT'],"['semi-supervised learning', 'contrastive loss', 'data augmentation', 'pseudo-labeling', 'distribution alignment', 'parameter-efficient finetuning']",6,yes,"This program implements a semi-supervised learning framework using a Vision Transformer (ViT) model. It employs a combination of labeled and unlabeled data, utilizing contrastive loss and pseudo-labeling techniques to improve classification performance. The program includes various data augmentation strategies and a parameter-efficient finetuning method to adapt the model for specific tasks. It is designed to handle COCO dataset annotations for training and evaluation.",False,True,3677,139,3816,0.004656300000000001,CLIP only,"['contrastive loss', 'data augmentation', 'distribution alignment', 'parameter efficient finetuning', 'pseudo-labeling', 'semi-supervised learning']",6
0010_49e53ab7,program_step0010_49e53ab7.py,eval_step0010_49e53ab7.json,0.7774625689519307,['ViT'],"['semi-supervised learning', 'contrastive loss', 'data augmentation', 'pseudo-labeling', 'confidence weighting', 'parameter-efficient finetuning']",6,yes,"This program implements a semi-supervised learning framework using a Vision Transformer (ViT) model. It employs a combination of labeled and unlabeled data, utilizing contrastive loss and confidence weighting for improved performance. The training process includes data augmentation techniques and a parameter-efficient finetuning method. The model is designed to classify images based on COCO dataset annotations.",False,True,3870,129,3999,0.0048246,CLIP only,"['confidence weighting', 'contrastive loss', 'data augmentation', 'parameter efficient finetuning', 'pseudo-labeling', 'semi-supervised learning']",6
0011_d078ff28,program_step0011_d078ff28.py,eval_step0011_d078ff28.json,0.7779353821907014,['ViT'],"['semi-supervised learning', 'contrastive loss', 'data augmentation', 'pseudo-labeling', 'teacher-student model', 'parameter-efficient finetuning']",6,yes,"This program implements a semi-supervised learning framework using a Vision Transformer (ViT) model. It employs a two-view labeled dataset and a weak-strong unlabeled dataset for training. The training strategy includes supervised contrastive loss, pseudo-labeling, and a teacher-student model for improved performance. Data augmentation techniques are utilized to enhance the model's robustness, and parameter-efficient finetuning methods are applied to adapt the model effectively.",False,True,4349,147,4496,0.0054307,CLIP only,"['contrastive loss', 'data augmentation', 'parameter efficient finetuning', 'pseudo-labeling', 'semi-supervised learning', 'teacher student model']",6
