run_id,program_name,eval_name,test_accuracy,models,methods,n_methods,uses_training,summary,used_dinov2,used_clip,prompt_tokens,completion_tokens,total_tokens,llm_cost,backbone_bucket,methods_canonical,n_methods_canonical
0004_7694c9d8,program_step0004_7694c9d8.py,eval_step0004_7694c9d8.json,0.6164893617021276,['DINOv2'],"['transductive semi-supervised learning', 'class-conditional Gaussian modeling', 'EM-style refinement', 'confidence-gated pseudo-labeling', 'nearest-centroid cosine calibration', 'PCA whitening', 'feature extraction', 'data augmentation']",8,yes,"This program implements a transductive semi-supervised classifier using a frozen DINOv2 backbone to extract image embeddings. It employs class-conditional Gaussian modeling and EM-style refinement with unlabeled data to enhance classification accuracy. The method incorporates confidence-gated pseudo-labeling and final nearest-centroid cosine calibration for robust predictions. The approach is designed to be data-efficient and stable, leveraging unlabeled data effectively while keeping the backbone model frozen.",True,False,4711,176,4887,0.0059565,DINOv2 only,"['centroid cosine calibration', 'gaussian em', 'multi view augmentation', 'multi view feature extract', 'pca / whitening', 'pseudo-labeling', 'semi-supervised learning']",7
0005_4b0c62b6,program_step0005_4b0c62b6.py,eval_step0005_4b0c62b6.json,0.6281914893617021,['DINOv2'],"['transductive Gaussian model', 'EM algorithm', 'soft responsibilities', 'class-prior regularization', 'PCA', 'two-view consistency']",6,no,"This program implements a semi-supervised learning approach using a frozen DINOv2 backbone to extract image embeddings. It trains a transductive Gaussian class model in feature space with an Expectation-Maximization (EM) algorithm on unlabeled data. The model estimates class geometry using a few labeled examples and unlabeled data, making it data-efficient. The approach incorporates soft responsibilities and class-prior regularization to refine class means and covariance iteratively.",True,False,4458,150,4608,0.005563800000000001,DINOv2 only,"['class balance regularization', 'consistency / multi-view', 'gaussian em', 'pca / whitening', 'transductive gaussian mixture classifier']",5
0006_fbbf116c,program_step0006_fbbf116c.py,eval_step0006_fbbf116c.json,0.6329787234042553,"['ViT', 'DINOv2']","['semi-supervised learning', 'prototype refinement', 'cosine calibration', 'data augmentation', 'label smoothing', 'two-view feature extraction']",6,yes,The program implements a semi-supervised learning framework using a Vision Transformer (ViT) backbone with DINOv2 for feature extraction. It employs a prototype refinement strategy to improve classification accuracy on labeled and unlabeled data. The model is calibrated using a cosine calibrator to enhance prediction reliability. Data augmentation techniques are applied to improve model robustness during training.,True,False,3990,132,4122,0.0049698,DINOv2 only,"['centroid cosine calibration', 'label smoothing', 'multi view augmentation', 'multi view feature extract', 'prototype methods', 'semi-supervised learning']",6
0007_68f69422,program_step0007_68f69422.py,eval_step0007_68f69422.json,0.6382978723404256,['ViT'],"['semi-supervised learning', 'label propagation', 'k-NN graph', 'feature extraction', 'data augmentation']",5,yes,"The program implements a semi-supervised learning framework using a Vision Transformer (ViT) backbone for image classification. It utilizes labeled and unlabeled data, employing label propagation on a k-NN graph to enhance the model's performance. The model extracts features from images and predicts categories based on learned prototypes. Data augmentation techniques are applied to improve generalization.",True,False,2684,121,2805,0.0034848000000000006,DINOv2 only,"['label propagation / graph methods', 'multi view augmentation', 'multi view feature extract', 'semi-supervised learning']",4
0009_6e8d02b5,program_step0009_6e8d02b5.py,eval_step0009_6e8d02b5.json,0.5925531914893617,"['ViT', 'CosineLinear']","['pseudo-labeling', 'consistency objectives', 'data augmentation', 'label smoothing', 'multi-view feature extraction', 'frozen backbone', 'AdamW optimizer']",7,yes,"This program implements a semi-supervised learning framework for image classification using a Vision Transformer (ViT) backbone. It employs a cosine linear head for classification and incorporates pseudo-labeling to leverage unlabeled data. The training process is divided into two stages, focusing on labeled data first and then refining the model with pseudo-labeled samples. Data augmentation techniques and label smoothing are utilized to enhance model robustness.",True,False,3652,145,3797,0.0046552,DINOv2 only,"['adamw optimizer', 'consistency / multi-view', 'frozen backbone', 'label smoothing', 'multi view augmentation', 'multi view feature extract', 'pseudo-labeling']",7
0010_e274513a,program_step0010_e274513a.py,eval_step0010_e274513a.json,0.6335106382978724,"['DINOv2', 'ViT']","['transductive Gaussian EM', 'test-time augmentation', 'multi-crop averaging', 'PCA projection', 'view consistency', 'feature extraction']",6,yes,"The program implements a semi-supervised learning approach using a frozen DINOv2 backbone with a transductive Gaussian EM pipeline. It enhances feature extraction by employing test-time augmentation through multi-crop averaging to improve descriptor stability. The method preserves the core components of the original pipeline while adding minimal complexity, focusing on improving texture recognition through consistent feature extraction across multiple deterministic views.",True,False,4851,138,4989,0.0059433,DINOv2 only,"['consistency / multi-view', 'lda projection', 'multi view feature extract', 'transductive learning', 'tta / multi-crop']",5
0011_3d216acc,program_step0011_3d216acc.py,eval_step0011_3d216acc.json,0.6351063829787233,"['DINOv2', 'ViT']","['transductive Gaussian EM', 'test-time augmentation', 'multi-view feature extraction', 'PCA projection', 'consistency objectives']",5,no,"This program enhances a frozen DINOv2 model by integrating a transductive Gaussian EM pipeline with minimal test-time augmentation. It extracts features from multiple deterministic views of images to improve texture recognition accuracy. The approach focuses on averaging features to reduce noise and variance, leveraging a conservative enhancement strategy without altering the training objectives or architecture.",True,False,4165,126,4291,0.0051359000000000005,DINOv2 only,"['consistency / multi-view', 'lda projection', 'multi view feature extract', 'transductive learning', 'tta / multi-crop']",5
0012_75b2ad1c,program_step0012_75b2ad1c.py,eval_step0012_75b2ad1c.json,0.5957446808510638,"['DINOv2', 'ViT']","['transductive Gaussian EM', 'PCA', 'confidence-based unlabeled sample selection', 'view-consistency', 'multi-view transforms']",5,yes,This program implements a semi-supervised learning approach using a frozen DINOv2 model combined with a transductive Gaussian EM classifier. It enhances the classification process by incorporating a confidence-based selection of unlabeled samples during the EM steps to improve class mean and covariance estimation. The program utilizes PCA for feature projection and applies multi-view transformations to extract robust features from images.,True,False,4630,135,4765,0.005687,DINOv2 only,"['confidence based unlabeled sample selection', 'consistency / multi-view', 'multi view training', 'pca / whitening', 'transductive learning']",5
0013_dfdd68dd,program_step0013_dfdd68dd.py,eval_step0013_dfdd68dd.json,0.6356382978723404,"['DINOv2', 'ViT']","['transductive Gaussian EM', 'confidence-weighted updates', 'PCA projection', 'multi-view averaging', 'class-balanced prior anchoring']",5,yes,This program enhances a semi-supervised learning pipeline by integrating confidence-weighted updates into a Gaussian EM framework. It utilizes frozen DINOv2 features and applies multi-view averaging and PCA projection on both labeled and unlabeled data. The new method aims to improve the model's robustness against overconfidence in predictions by adjusting the contribution of unlabeled samples based on their confidence levels. The overall goal is to maintain high accuracy with minimal labeled data.,True,False,4530,150,4680,0.0056430000000000004,DINOv2 only,"['class balanced prior anchoring', 'confidence weighted updates', 'lda projection', 'multi view augmentation', 'transductive learning']",5
0015_24cbbcb3,program_step0015_24cbbcb3.py,eval_step0015_24cbbcb3.json,0.5664893617021277,"['ViT', 'DINOv2']","['semi-supervised learning', 'PCA', 'subspace modeling', 'transductive learning', 'feature extraction', 'data augmentation']",6,yes,"This program implements a semi-supervised learning framework using a Vision Transformer (ViT) backbone with DINOv2 features. It focuses on classifying images by leveraging both labeled and unlabeled data through a subspace modeling approach. The model extracts features from images, computes PCA for dimensionality reduction, and fits transductive subspaces to improve classification accuracy. The program also includes data augmentation techniques to enhance the training process.",True,False,4793,147,4940,0.005919100000000001,DINOv2 only,"['multi view augmentation', 'multi view feature extract', 'pca / whitening', 'semi-supervised learning', 'subspace modeling', 'transductive learning']",6
